id,section_number,section_name_en,section_name_fr,subsection_number,subsection_name_en,subsection_name_fr,title_en,title_fr,id_2025_26
Q3Row1Cell1,3,Section 3: Applications to the Information Commissioner on declining to act on requests,Section 3 : Demandes à la Commissaire à l’information pour ne pas donner suite à une demande,,N/A,N/A,"Decline to act vexatious, made in bad faith or abuse of right requests: Number of Requests - Outstanding from previous reporting period",Motifs pour ne pas donner suite a une demande : Nombre de demandes - En suspens depuis la période d’établissement de rapport précédente,Q9R2C1
Q3Row2Cell1,3,Section 3: Applications to the Information Commissioner on declining to act on requests,Section 3 : Demandes à la Commissaire à l’information pour ne pas donner suite à une demande,,N/A,N/A,"Decline to act vexatious, made in bad faith or abuse of right requests: Number of Requests - Sent during reporting period",Motifs pour ne pas donner suite a une demande : Nombre de demandes - Envoyées pendant la période d’établissement de rapport,Q9R3C1
Q3Row3Cell1,3,Section 3: Applications to the Information Commissioner on declining to act on requests,Section 3 : Demandes à la Commissaire à l’information pour ne pas donner suite à une demande,,N/A,N/A,"Decline to act vexatious, made in bad faith or abuse of right requests: Number of Requests - Total",Motifs pour ne pas donner suite a une demande : Nombre de demandes - Total,Q9R4C1
Q3Row4Cell1,3,Section 3: Applications to the Information Commissioner on declining to act on requests,Section 3 : Demandes à la Commissaire à l’information pour ne pas donner suite à une demande,,N/A,N/A,"Decline to act vexatious, made in bad faith or abuse of right requests: Number of Requests - Approved by the Information Commissioner during reporting period",Motifs pour ne pas donner suite a une demande : Nombre de demandes - Approuvées par la Commissaire à l’information pendant la période d’établissement de rapport,Q9R5C1
Q3Row5Cell1,3,Section 3: Applications to the Information Commissioner on declining to act on requests,Section 3 : Demandes à la Commissaire à l’information pour ne pas donner suite à une demande,,N/A,N/A,"Decline to act vexatious, made in bad faith or abuse of right requests: Number of Requests - Declined by the Information Commissioner during reporting period",Motifs pour ne pas donner suite a une demande : Nombre de demandes - Refusées par la Commissaire à l’information au cours de la période d’établissement de rapport,Q9R6C1
Q3Row6Cell1,3,Section 3: Applications to the Information Commissioner on declining to act on requests,Section 3 : Demandes à la Commissaire à l’information pour ne pas donner suite à une demande,,N/A,N/A,"Decline to act vexatious, made in bad faith or abuse of right requests: Number of Requests - Carried over to next reporting period",Motifs pour ne pas donner suite a une demande : Nombre de demandes - Retirées pendant la période d’établissement de rapport,Q9R7C1
Q3Row7Cell1,3,Section 3: Applications to the Information Commissioner on declining to act on requests,Section 3 : Demandes à la Commissaire à l’information pour ne pas donner suite à une demande,,N/A,N/A,"Decline to act vexatious, made in bad faith or abuse of right requests: Number of Requests - Carried over to next reporting period",Motifs pour ne pas donner suite a une demande : Nombre de demandes - Reportées à la prochaine période d’établissement de rapport,Q10R1C1
Q4_1Row1Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: All disclosed,Délai de traitement: 1 to 15 days - Disposition des demandes: Communication totale,Q10R1C2
Q4_1Row2Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: Disclosed in part,Délai de traitement: 1 to 15 days - Disposition des demandes: Communication partielle,Q10R1C3
Q4_1Row3Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: All exempted,Délai de traitement: 1 to 15 days - Disposition des demandes: Exception totale,Q10R1C4
Q4_1Row4Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: All excluded,Délai de traitement: 1 to 15 days - Exclusion totale<,Q10R1C5
Q4_1Row5Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: No records exist,Délai de traitement: 1 to 15 days - Disposition des demandes: Aucun document n’existe,Q10R1C6
Q4_1Row6Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: Request transferred,Délai de traitement: 1 to 15 days - Disposition des demandes: Demande transférée,Q10R1C7
Q4_1Row7Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: Request abandoned,Délai de traitement: 1 to 15 days - Disposition des demandes: Demande abandonnée,Q10R2C1
Q4_1Row8Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: Neither confirmed nor denied,Délai de traitement: 1 to 15 days - Disposition des demandes: Ni confirmée ni infirmée,Q10R2C2
Q4_1Row9Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: Decline to act with the approval of the Information Commisioner,Délai de traitement: 1 to 15 days - Disposition des demandes: Refus d’agir avec l’approbation de la Commissaire à l’information,Q10R2C3
Q4_1Row10Cell1,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 1 to 15 days - Disposition of requests: Total,Délai de traitement: 1 to 15 days - Disposition des demandes: Total,Q10R2C4
Q4_1Row1Cell2,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 16 to 30 days - Disposition of requests: All disclosed,Délai de traitement: 16 à 30 jours - Disposition des demandes: Communication totale,Q10R2C5
Q4_1Row2Cell2,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 16 to 30 days - Disposition of requests: Disclosed in part,Délai de traitement: 16 à 30 jours - Disposition des demandes: Communication partielle,Q10R2C6
Q4_1Row3Cell2,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 16 to 30 days - Disposition of requests: All exempted,Délai de traitement: 16 à 30 jours - Disposition des demandes: Exception totale,Q10R2C7
Q4_1Row4Cell2,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 16 to 30 days - Disposition of requests: All excluded,Délai de traitement: 16 à 30 jours - Exclusion totale<,Q10R3C1
Q4_1Row5Cell2,4,Section 4: Requests closed during the reporting period,Section 4 : Demandes fermées pendant la période d’établissement de rapport,4.1,4.1 Disposition and completion time,4.1 Disposition et délai de traitement,Completion Time: 16 to 30 days - Disposition of requests: No records exist,Délai de traitement: 16 à 30 jours - Disposition des demandes: Aucun document n’existe,Q10R3C2
